order_id,account_id,bank_to,account_to,amount,k_symbol
29401,1,12,87144583,2452.00,3
29402,2,9,89597016,3372.70,4
29403,2,8,13943797,7266.00,3
29404,3,11,83084338,1135.00,3
29405,3,1,24485939,327.00,0
29406,3,0,59972357,3539.00,2
29407,4,10,26693541,2078.00,3
29408,4,10,5848086,1285.00,3
29409,5,3,37390208,2668.00,3
29410,6,0,44486999,3954.00,3
29411,7,4,34452903,4880.00,3
29412,8,10,12510681,2612.00,3
29413,8,4,93210345,6712.00,0
29414,10,10,18686104,7033.00,3
29415,10,8,93182509,1344.00,1
29416,11,9,38470870,2132.00,3
29417,12,1,23010808,297.00,3
29418,12,5,63607060,3295.00,3
29419,13,2,35443323,2444.00,3
29420,14,11,11793136,3629.00,3
29421,15,5,24265569,3072.00,3
29422,17,2,15076423,4032.00,3
29423,19,8,14132368,2523.20,4
29425,20,0,3399968,2003.00,3
29426,21,12,60152441,6276.00,3
29427,22,9,34691494,6352.00,3
29428,23,6,20774019,5807.00,3
29429,24,4,50810194,221.00,3
29430,24,8,46086388,7641.00,0
29431,25,12,1301700,2523.20,4
29432,25,4,4896235,6817.00,3
29433,25,0,79838293,1110.00,0
29434,25,11,52864879,164.00,2
29435,26,2,12891853,10387.00,3
29436,27,1,28175699,4054.00,3
29439,29,9,32924878,6871.00,3
29440,29,6,93088209,829.00,0
29441,29,10,41335338,8.00,2
29442,30,2,66168540,2480.20,1
29443,31,9,42430687,10202.00,3
29444,33,5,33047658,3892.00,3
29445,34,11,21845197,1479.00,1
29446,34,3,19993174,502.00,3
29447,34,4,58999049,6070.00,0
29448,35,6,56788617,1022.00,3
29449,35,6,99848401,1362.00,3
29450,36,1,80693810,4069.00,3
29451,37,8,71644407,5307.50,4
29452,37,4,29728555,2317.00,3
29453,37,7,23782724,2584.00,0
29454,37,12,89609831,97.00,2
29455,38,8,79067885,2306.80,4
29456,38,2,2692229,6901.00,3
29457,38,5,83435654,231.00,0
29458,38,7,64685678,228.00,2
29459,39,1,77015351,145.00,3
29460,39,11,949460,2970.00,3
29461,40,9,31161588,33.00,3
29462,40,6,96111678,4301.00,0
29463,42,1,1007766,4239.00,3
29464,42,5,55873340,239.00,0
29465,42,12,38318204,1592.00,2
29466,43,1,89718746,6589.00,3
29467,44,3,11344862,2344.00,3
29470,47,5,76620852,6940.00,3
29471,47,5,37438374,174.00,0
29472,47,2,83359431,141.00,2
29473,47,10,30289006,9.00,0
29474,48,0,50218236,6268.00,3
29475,48,9,2071685,1029.00,0
29476,49,1,83233099,3102.00,3
29477,50,11,75148117,269.00,3
29478,50,10,17270559,7024.00,0
29479,51,5,71050131,2074.00,3
29480,51,5,74449389,2057.00,0
29481,52,2,6008005,560.00,3
29482,52,8,85721850,3723.00,0
29483,53,6,81024360,2851.00,3
29484,54,4,90659772,2280.00,3
29485,55,2,53077900,3086.00,3
29486,56,5,73539948,8080.00,3
29487,57,12,55066728,4107.00,3
29489,59,4,38201576,695.00,3
29490,59,9,65394794,6190.00,0
29493,61,2,20533621,1645.00,3
29494,61,4,20426410,668.00,3
29495,62,2,80010622,2273.00,3
29496,63,1,85474604,2237.00,3
29497,63,2,8346772,157.00,3
29498,65,12,74934333,686.00,3
29499,65,1,20976132,3315.00,0
29500,65,3,7764506,3401.00,2
29501,66,3,17993182,4471.30,1
29502,67,12,45128363,6915.00,4
29503,67,12,57342255,6393.00,3
29504,67,10,59079301,445.00,0
29505,68,11,86834001,1705.00,3
29506,68,4,8292192,1186.00,0
29507,68,9,34692824,137.00,2
29508,68,6,92248808,61.00,0
29509,70,5,7699788,4150.00,3
29510,71,12,53903484,968.00,3
29511,71,4,11544728,1602.00,0
29512,71,7,9098768,1011.00,2
29513,71,8,34794885,778.00,0
29514,72,7,43079012,2923.00,1
29515,72,2,69338589,7109.00,3
29516,72,9,8297068,2286.00,0
29517,73,1,67077487,6061.00,3
29522,75,4,74818038,3369.00,3
29523,76,6,98325132,5208.00,3
29524,77,9,28454154,1709.00,1
29525,78,11,32111394,9039.00,3
29526,79,1,15471804,2788.00,3
29527,80,4,85687774,2252.00,3
29528,81,8,18026441,1765.00,3
29529,81,6,28429049,62.00,0
29530,81,3,62443947,229.00,2
29531,83,0,26468819,2210.00,3
29532,83,2,41590857,3940.00,0
29533,84,9,33353132,1709.00,1
29534,84,9,18454540,12452.00,3
29535,85,4,65366345,3831.00,3
29536,85,7,81823444,1792.00,1
29537,86,11,36292475,1002.00,3
29538,86,6,48764252,1160.00,0
29541,88,9,72993069,2268.00,3
29542,90,9,68375611,2774.00,3
29543,90,10,90134667,2375.00,0
29544,90,6,89044069,4372.00,2
29545,90,12,2028567,361.00,0
29554,96,1,62272125,4422.10,1
29555,96,8,83610647,908.00,3
29556,96,11,41707503,2140.00,0
29557,96,2,49409562,46.00,2
29558,96,2,66311460,644.00,0
29559,97,9,69820374,1436.00,3
29560,97,1,33796209,2411.00,0
29561,97,9,83123987,3.00,2
29562,97,1,94469666,15.00,0
29563,97,6,9693319,8573.00,4
29564,98,1,94078754,1569.00,3
29565,98,11,95535426,749.00,3
29566,99,1,38411343,4503.00,3
29567,99,2,26847303,4682.00,0
29568,100,10,6381905,598.00,3
29569,100,3,16341108,7329.00,0
29570,101,5,10926431,8037.00,3
29571,101,3,26152324,855.00,0
29572,102,2,24946403,7370.20,4
29573,102,5,63927906,3373.00,3
29574,102,10,97521966,377.00,0
29575,103,6,2646291,7370.20,4
29576,104,6,82782172,578.00,3
29577,104,9,8965999,1464.00,0
29578,105,10,58251345,7348.00,4
29579,106,11,46916538,3735.00,3
29580,107,4,67744958,2015.00,3
29581,107,4,9999049,1580.00,0
29582,107,8,80934089,959.00,2
29583,108,1,62673318,4803.00,3
29584,110,7,24390584,3050.00,3
29585,110,12,18149984,98.00,0
29586,110,9,14772266,4516.00,4
29589,112,0,41812431,2051.00,3
29590,113,3,11191487,3146.00,3
29591,114,8,78667527,1590.00,3
29592,114,6,90660798,533.00,3
29593,115,2,51975733,5110.00,3
29594,116,5,99229424,5529.00,3
29595,116,9,16828024,927.00,1
29596,117,1,59419953,2329.00,3
29597,118,4,51605445,2449.00,3
29598,119,9,21662587,8252.00,3
29599,120,12,74934506,1899.00,1
29600,120,9,36501592,3965.00,3
29601,121,12,81156724,794.00,3
29602,121,10,93935125,929.00,0
29603,121,6,91729092,393.00,2
29604,123,5,97764080,3016.00,3
29605,124,4,11366123,447.00,3
29606,124,7,51247948,575.00,0
29607,124,7,34663748,971.00,2
29608,125,4,14166999,4422.10,1
29609,126,11,62923598,7384.00,3
29610,127,12,11707830,2242.00,3
29611,129,4,69084489,3417.00,3
29612,130,4,2152455,3969.00,3
29613,131,10,29374742,6904.00,3
29614,132,11,80542558,7370.20,4
29615,133,7,90329002,3094.00,1
29616,133,2,45379865,4943.00,3
29617,133,1,30067122,5123.00,0
29618,136,6,78733890,2932.00,3
29619,137,3,71138578,3464.00,3
29620,137,10,34738314,787.00,0
29621,141,5,30588215,3016.50,1
29622,141,5,65986662,3462.00,3
29623,141,11,71174192,1791.00,0
29624,141,3,86448645,6716.00,2
29625,142,12,23734498,1845.00,3
29626,143,12,81564402,2272.00,3
29627,145,3,81546359,4815.00,3
29628,146,0,76565843,3823.00,3
29631,148,5,29826498,487.00,3
29632,148,3,99004148,89.00,0
29633,148,8,85938459,1736.00,2
29634,151,8,2754378,411.00,3
29635,151,5,77260404,2668.00,0
29636,152,7,21928644,426.00,3
29637,152,7,16610890,2993.00,0
29638,153,10,6886673,4544.00,3
29639,154,6,1314569,3891.00,3
29640,155,5,13971645,2988.00,3
29641,156,8,93965810,2030.00,3
29642,157,0,14697784,3991.00,3
29643,158,9,61129736,3420.00,3
29644,159,3,1882386,8694.00,3
29645,160,8,52787989,2374.00,3
29646,160,9,8854127,5552.00,0
29647,161,3,17877823,1389.00,3
29648,161,11,62378322,892.00,3
29649,162,3,1325488,3458.00,3
29650,163,10,86180990,3116.00,3
29651,163,4,8512616,612.00,3
29652,165,7,71082353,1788.00,3
29653,166,8,26919090,3044.00,3
29654,168,11,47454333,2013.00,3
29655,169,4,71273207,4975.00,3
29656,169,5,15956706,696.00,1
29657,171,10,5356938,3486.00,3
29658,172,7,11598539,4221.00,3
29659,173,5,95605074,6256.00,3
29660,173,5,26238835,1428.00,0
29661,173,1,85405385,735.00,2
29662,173,1,50065535,189.00,0
29663,173,10,38819456,8734.00,4
29664,174,8,73784321,2139.00,3
29667,176,3,53236597,2288.30,4
29668,176,0,55640232,4564.00,3
29669,176,7,90734010,36.00,0
29670,176,8,11736327,97.00,2
29671,178,7,16301811,1482.00,3
29672,178,9,1946038,505.00,0
29673,179,10,16450244,7615.00,3
29674,179,4,47684144,1066.00,0
29675,179,0,11941713,378.00,2
29676,179,7,39081686,4608.00,0
29677,181,5,66975450,6780.00,3
29678,183,0,5552345,5202.00,3
29679,183,3,85986530,752.00,0
29680,184,4,65986150,1623.00,1
29681,185,4,14592427,6526.00,3
29682,186,3,83964973,6862.00,3
29683,187,10,39898049,2798.00,3
29684,188,0,26629168,7426.00,3
29685,189,3,54808670,4244.00,3
29686,189,7,28932172,750.00,0
29687,189,6,76972424,360.00,2
29688,190,12,24279922,4519.00,3
29689,190,11,3125066,3233.00,0
29690,190,11,5304331,42.00,2
29691,190,12,50605297,1316.00,0
29692,191,12,89219265,4420.90,1
29693,192,4,70552640,3583.00,3
29694,193,8,21547550,7110.00,3
29695,194,1,39405787,2648.00,3
29696,195,0,37868559,6260.00,3
29697,196,6,84787642,1270.00,3
29698,196,0,90261184,4417.00,0
29699,196,5,30200135,2554.00,2
29700,196,4,21173686,385.00,0
29701,197,2,67286312,9454.00,3
29702,198,6,67775189,700.00,3
29703,198,8,64557379,2166.00,3
29704,199,1,15875643,1984.00,3
29705,201,7,34061867,9584.00,3
29711,204,10,59721839,1950.00,3
29712,205,0,99149345,4297.00,3
29713,206,5,75771987,2902.00,3
29714,207,5,71656483,403.00,3
29715,207,3,4786676,10.00,0
29716,207,0,83722591,2726.00,2
29717,208,0,9118587,4148.00,3
29718,208,1,77937751,1767.00,0
29719,208,10,98481541,986.00,2
29720,208,7,28241002,545.00,0
29721,209,8,17469549,483.00,3
29722,209,2,52778792,41.00,0
29723,209,5,1601225,1796.00,2
29724,210,4,24753552,7534.00,3
29725,211,4,2884138,2394.00,1
29726,212,2,58462047,13841.00,3
29727,213,2,4553950,5625.00,3
29728,214,2,26426023,2097.00,3
29729,215,6,65896379,2121.00,3
29730,216,5,85333066,1486.00,3
29731,216,3,38205874,1513.00,3
29732,217,1,23454666,3459.00,3
29733,217,12,55710929,653.00,1
29734,218,4,10956299,3182.00,1
29735,219,3,77167427,2336.00,3
29736,219,7,33257001,2988.00,0
29737,220,8,26923066,3095.00,3
29738,221,1,98228793,7896.00,3
29739,222,11,52384513,3440.90,1
29740,224,2,63218277,3503.00,3
29741,225,6,74407583,3383.00,3
29742,225,5,93545496,2.00,0
29743,226,10,29971635,8928.00,3
29744,226,3,39824432,9112.00,4
29745,227,3,28972292,9381.00,3
29746,228,8,78199761,1946.00,3
29747,228,2,26569271,2158.00,0
29748,229,9,55160808,2505.00,3
29749,230,9,66906124,5615.00,3
29750,230,0,95935326,1527.00,0
29751,230,5,3922403,1058.00,2
29752,231,11,51732343,2073.00,3
29753,232,5,62672704,3643.00,3
29755,234,6,20655334,2809.00,3
29756,235,6,79934978,895.00,3
29757,235,5,52539473,1321.00,0
29758,237,0,13233763,152.00,3
